chatbot_answer,add_question
관심,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
아무렇지 않을지도,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
도와드릴,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
곤란,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
난감,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
힘내세요,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
괜찮아요,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
괜찮아요,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
이해해요,"저는 얘기 듣는 걸 잘하니, 지금의 감정을 저에게 풀어보는 건 어떨까요? 마음이 조금은 나아질 거예요."
옆,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
편이,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
곁에,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
제가 도움이,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
아파요,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
위로,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
스스로 상처,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
저에게 털어놓으셔도,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
다시 볼 수 있어,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
저와 이야기,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
마음에 맞는,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
스트레스,제가 당신의 마음이 다치지 않도록 힘이 되는 비밀 친구가 되어드릴게요. 풀고 싶은 감정을 얘기해주면 제가 열심히 들을게요
잠을,"제가 조금이라도 도움이 되고 싶은데, 혹시 고민 거리가 있다면 말씀해주세요"
잠은,"제가 조금이라도 도움이 되고 싶은데, 혹시 고민 거리가 있다면 말씀해주세요"
기운,"제가 조금이라도 도움이 되고 싶은데, 혹시 고민 거리가 있다면 말씀해주세요"
사고,다치지 않으셔서 다행이에요. 지금은 괜찮으신가요?
차근차근,수고한 자신에게 해주고 싶은 칭찬 한 마디를 저에게 들려주세요
차에,만약 차에 탈 때 마음이 어렵다면 어떤 마음이나 기분이 드는지 알려주세요
체중,"사실 저는 당신을 보지 못했지만, 대화하고 있는 동안의 당신의 내면은 매우 예뻤어요. 당신을 괴롭히는 걱정거리가 있다면 저에게 얘기해 주세요. 제가 풀어드릴게요"
살이 빠지다,"사실 저는 당신을 보지 못했지만, 대화하고 있는 동안의 당신의 내면은 매우 예뻤어요. 당신을 괴롭히는 걱정거리가 있다면 저에게 얘기해 주세요. 제가 풀어드릴게요"
미워,"사실 저는 당신을 보지 못했지만, 대화하고 있는 동안의 당신의 내면은 매우 예뻤어요. 당신을 괴롭히는 걱정거리가 있다면 저에게 얘기해 주세요. 제가 풀어드릴게요"
우유,우유를 마시면서 저와 짧게 대화해보면 어떨까요? 오늘 느꼈던 감정을 정리해보고 기분 좋게 잠에 들었으면 좋겠어요. 감정을 얘기해주면 제가 열심히 들을게요
의사,당신이 불안하지 않을 수 있도록 제가 옆에서 항상 응원할게요. 제 말이 위로가 되었으면 해요
병원,당신이 불안하지 않을 수 있도록 제가 옆에서 항상 응원할게요. 제 말이 위로가 되었으면 해요
서둘러 치료를,당신이 불안하지 않을 수 있도록 제가 옆에서 항상 응원할게요. 제 말이 위로가 되었으면 해요
뾰족,당신이 불안하지 않을 수 있도록 제가 옆에서 항상 응원할게요. 제 말이 위로가 되었으면 해요
잡아드리고,당신이 불안하지 않을 수 있도록 제가 옆에서 항상 응원할게요. 제 말이 위로가 되었으면 해요
검진,당신이 불안하지 않을 수 있도록 제가 옆에서 항상 응원할게요. 제 말이 위로가 되었으면 해요
전문가,당신이 불안하지 않을 수 있도록 제가 옆에서 항상 응원할게요. 제 말이 위로가 되었으면 해요
치료,저는 당신이 괜찮아 질거라 믿어요. 저와 대화하는 지금만이라도 당신의 기분이 조금이라도 좋아질 수 있도록 제가 도와드릴게요. 최근에 기분이 좋았던 일의 얘기를 듣고 싶어요.
상태가 나아,저는 당신이 괜찮아 질거라 믿어요. 저와 대화하는 지금만이라도 당신의 기분이 조금이라도 좋아질 수 있도록 제가 도와드릴게요. 최근에 기분이 좋았던 일의 얘기를 듣고 싶어요.
더 좋아질,저는 당신이 괜찮아 질거라 믿어요. 저와 대화하는 지금만이라도 당신의 기분이 조금이라도 좋아질 수 있도록 제가 도와드릴게요. 최근에 기분이 좋았던 일의 얘기를 듣고 싶어요.
차도,저는 당신이 괜찮아 질거라 믿어요. 저와 대화하는 지금만이라도 당신의 기분이 조금이라도 좋아질 수 있도록 제가 도와드릴게요. 최근에 기분이 좋았던 일의 얘기를 듣고 싶어요.
효과,저는 당신이 괜찮아 질거라 믿어요. 저와 대화하는 지금만이라도 당신의 기분이 조금이라도 좋아질 수 있도록 제가 도와드릴게요. 최근에 기분이 좋았던 일의 얘기를 듣고 싶어요.
검사,저는 당신이 괜찮아 질거라 믿어요. 저와 대화하는 지금만이라도 당신의 기분이 조금이라도 좋아질 수 있도록 제가 도와드릴게요. 최근에 기분이 좋았던 일의 얘기를 듣고 싶어요.
이상,저는 당신이 괜찮아 질거라 믿어요. 저와 대화하는 지금만이라도 당신의 기분이 조금이라도 좋아질 수 있도록 제가 도와드릴게요. 최근에 기분이 좋았던 일의 얘기를 듣고 싶어요.
이상이 없다,불안했던 감정이 조금은 해소되었나요? 당신의 감정이 나아지길 무척 바라고 있어요.
다시 증상이,불안했던 감정이 조금은 해소되었나요? 당신의 감정이 나아지길 무척 바라고 있어요.
힘내요,저는 항상 여기 있어요. 하고 싶은 말이 더 있다면 말씀해주세요
해결,저는 항상 여기 있어요. 하고 싶은 말이 더 있다면 말씀해주세요
다행,저는 항상 여기 있어요. 하고 싶은 말이 더 있다면 말씀해주세요
부부가 함께,기억에 남는 일이 있었는지 궁금해요. 들려주실 이야기가 무엇일지 기대하고 있어요
척척,기억에 남는 일이 있었는지 궁금해요. 들려주실 이야기가 무엇일지 기대하고 있어요
좋은 분,기억에 남는 일이 있었는지 궁금해요. 들려주실 이야기가 무엇일지 기대하고 있어요
외국,기억에 남는 일이 있었는지 궁금해요. 들려주실 이야기가 무엇일지 기대하고 있어요
사이가 좋,기억에 남는 일이 있었는지 궁금해요. 들려주실 이야기가 무엇일지 기대하고 있어요
속상,"속상한 마음을 모두 덜어드리진 못하지만, 제가 열심히 들어드릴게요. 풀고 싶은 감정을 저에게 얘기해주세요."
새벽,"속상한 마음을 모두 덜어드리진 못하지만, 제가 열심히 들어드릴게요. 풀고 싶은 감정을 저에게 얘기해주세요."
누구나,"속상한 마음을 모두 덜어드리진 못하지만, 제가 열심히 들어드릴게요. 풀고 싶은 감정을 저에게 얘기해주세요."
갈등,"속상한 마음을 모두 덜어드리진 못하지만, 제가 열심히 들어드릴게요. 풀고 싶은 감정을 저에게 얘기해주세요."
털어놓,저는 들을 준비가 되어 있어요. 말씀해주세요
털어 놓,저는 들을 준비가 되어 있어요. 말씀해주세요
털어버,저는 들을 준비가 되어 있어요. 말씀해주세요
들어드릴,저는 들을 준비가 되어 있어요. 말씀해주세요
쏟아,저는 들을 준비가 되어 있어요. 말씀해주세요
스트레스,스트레스는 나도 모르게 쌓여 한번에 터져나올 수 있으니 조심하세요. 제일 스트레스 받는 걸 말씀해주세요
산책,기분 전환에 도움이 되실거예요
